id,um_dominio,multi_dominio,com_tag
80,user0079@gmail.com,igor.melo@yahoo.com,igor.melo+tag79@gmail.com
81,user0080@gmail.com,erica.santos@hotmail.com,erica.santos+tag80@gmail.com
82,user0081@gmail.com,fabio.rodrigues@gmail.com,fabio.rodrigues+tag81@gmail.com
83,user0082@gmail.com,fabio.paiva@gmail.com,fabio.paiva+tag82@gmail.com
84,user0083@gmail.com,joao.paiva@gmail.com,joao.paiva+tag83@gmail.com
85,user0084@gmail.com,ana.rodrigues@yahoo.com,ana.rodrigues+tag84@gmail.com
86,user0085@gmail.com,erica.dias@outlook.com,erica.dias+tag85@gmail.com
87,user0086@gmail.com,lucas.araujo@gmail.com,lucas.araujo+tag86@gmail.com
88,user0087@gmail.com,beatriz.araujo@gmail.com,beatriz.araujo+tag87@gmail.com
89,user0088@gmail.com,diego.alves@outlook.com,diego.alves+tag88@gmail.com
90,user0089@gmail.com,paula.carvalho@uol.com.br,paula.carvalho+tag89@gmail.com
91,user0090@gmail.com,gabi.pereira@yahoo.com,gabi.pereira+tag90@gmail.com
92,user0091@gmail.com,paula.oliveira@gmail.com,paula.oliveira+tag91@gmail.com
93,user0092@gmail.com,jose.paiva@gmail.com,jose.paiva+tag92@gmail.com
94,user0093@gmail.com,bruno.souza@gmail.com,bruno.souza+tag93@gmail.com
95,user0094@gmail.com,jose.dias@uol.com.br,jose.dias+tag94@gmail.com
96,user0095@gmail.com,heitor.santos@gmail.com,heitor.santos+tag95@gmail.com
97,user0096@gmail.com,heitor.lima@yahoo.com,heitor.lima+tag96@gmail.com
98,user0097@gmail.com,ana.macedo@gmail.com,ana.macedo+tag97@gmail.com
99,user0098@gmail.com,julia.araujo@gmail.com,julia.araujo+tag98@gmail.com
100,user0099@gmail.com,jose.rodrigues@uol.com.br,jose.rodrigues+tag99@gmail.com
101,user0100@gmail.com,mariana.souza@uol.com.br,mariana.souza+tag100@gmail.com
102,user0101@gmail.com,ana.carvalho@uol.com.br,ana.carvalho+tag101@gmail.com
103,user0102@gmail.com,jose.cruz@hotmail.com,jose.cruz+tag102@gmail.com
104,user0103@gmail.com,rafael.oliveira@hotmail.com,rafael.oliveira+tag103@gmail.com
105,user0104@gmail.com,julia.alves@outlook.com,julia.alves+tag104@gmail.com
106,user0105@gmail.com,pedro.ferreira@outlook.com,pedro.ferreira+tag105@gmail.com
107,user0106@gmail.com,bruno.lima@gmail.com,bruno.lima+tag106@gmail.com
108,user0107@gmail.com,fabio.macedo@uol.com.br,fabio.macedo+tag107@gmail.com
109,user0108@gmail.com,carlos.lima@uol.com.br,carlos.lima+tag108@gmail.com
110,user0109@gmail.com,lucas.cruz@hotmail.com,lucas.cruz+tag109@gmail.com
111,user0110@gmail.com,pedro.martins@gmail.com,pedro.martins+tag110@gmail.com
112,user0111@gmail.com,julia.martins@hotmail.com,julia.martins+tag111@gmail.com
113,user0112@gmail.com,beatriz.melo@uol.com.br,beatriz.melo+tag112@gmail.com
114,user0113@gmail.com,paula.macedo@uol.com.br,paula.macedo+tag113@gmail.com
115,user0114@gmail.com,maria.paiva@hotmail.com,maria.paiva+tag114@gmail.com
116,user0115@gmail.com,carlos.pereira@hotmail.com,carlos.pereira+tag115@gmail.com
117,user0116@gmail.com,carlos.costa@uol.com.br,carlos.costa+tag116@gmail.com
118,user0117@gmail.com,pedro.alves@hotmail.com,pedro.alves+tag117@gmail.com
119,user0118@gmail.com,mariana.oliveira@hotmail.com,mariana.oliveira+tag118@gmail.com
120,user0119@gmail.com,lucas.alves@uol.com.br,lucas.alves+tag119@gmail.com
121,user0120@gmail.com,gabi.alves@gmail.com,gabi.alves+tag120@gmail.com
122,user0121@gmail.com,ana.carvalho@hotmail.com,ana.carvalho+tag121@gmail.com
123,user0122@gmail.com,joao.silva@hotmail.com,joao.silva+tag122@gmail.com
124,user0123@gmail.com,pedro.alves@yahoo.com,pedro.alves+tag123@gmail.com
125,user0124@gmail.com,fabio.paiva@outlook.com,fabio.paiva+tag124@gmail.com
126,user0125@gmail.com,igor.silva@gmail.com,igor.silva+tag125@gmail.com
127,user0126@gmail.com,ana.pereira@uol.com.br,ana.pereira+tag126@gmail.com
128,user0127@gmail.com,joao.martins@uol.com.br,joao.martins+tag127@gmail.com
129,user0128@gmail.com,igor.pereira@outlook.com,igor.pereira+tag128@gmail.com
130,user0129@gmail.com,pedro.souza@hotmail.com,pedro.souza+tag129@gmail.com
131,user0130@gmail.com,clara.souza@hotmail.com,clara.souza+tag130@gmail.com
132,user0131@gmail.com,lucas.rodrigues@gmail.com,lucas.rodrigues+tag131@gmail.com
133,user0132@gmail.com,clara.paiva@outlook.com,clara.paiva+tag132@gmail.com
134,user0133@gmail.com,mariana.pereira@yahoo.com,mariana.pereira+tag133@gmail.com
135,user0134@gmail.com,beatriz.santos@outlook.com,beatriz.santos+tag134@gmail.com
136,user0135@gmail.com,maria.santos@hotmail.com,maria.santos+tag135@gmail.com
137,user0136@gmail.com,erica.rodrigues@hotmail.com,erica.rodrigues+tag136@gmail.com
138,user0137@gmail.com,beatriz.costa@outlook.com,beatriz.costa+tag137@gmail.com
139,user0138@gmail.com,joao.dias@yahoo.com,joao.dias+tag138@gmail.com
140,user0139@gmail.com,lucas.melo@hotmail.com,lucas.melo+tag139@gmail.com
141,user0140@gmail.com,paula.rodrigues@yahoo.com,paula.rodrigues+tag140@gmail.com
142,user0141@gmail.com,maria.oliveira@outlook.com,maria.oliveira+tag141@gmail.com
143,user0142@gmail.com,bruno.alves@gmail.com,bruno.alves+tag142@gmail.com
144,user0143@gmail.com,rafael.martins@uol.com.br,rafael.martins+tag143@gmail.com
145,user0144@gmail.com,diego.paiva@hotmail.com,diego.paiva+tag144@gmail.com
146,user0145@gmail.com,maria.costa@hotmail.com,maria.costa+tag145@gmail.com
147,user0146@gmail.com,beatriz.faria@hotmail.com,beatriz.faria+tag146@gmail.com
148,user0147@gmail.com,joao.costa@uol.com.br,joao.costa+tag147@gmail.com
149,user0148@gmail.com,erica.martins@hotmail.com,erica.martins+tag148@gmail.com
150,user0149@gmail.com,erica.macedo@uol.com.br,erica.macedo+tag149@gmail.com
151,user0150@gmail.com,carlos.araujo@uol.com.br,carlos.araujo+tag150@gmail.com
152,user0151@gmail.com,lucas.alves@gmail.com,lucas.alves+tag151@gmail.com
153,user0152@gmail.com,erica.silva@uol.com.br,erica.silva+tag152@gmail.com
154,user0153@gmail.com,igor.oliveira@hotmail.com,igor.oliveira+tag153@gmail.com
155,user0154@gmail.com,erica.lima@hotmail.com,erica.lima+tag154@gmail.com
156,user0155@gmail.com,mariana.gomes@gmail.com,mariana.gomes+tag155@gmail.com
157,user0156@gmail.com,paula.cruz@hotmail.com,paula.cruz+tag156@gmail.com
158,user0157@gmail.com,erica.gomes@outlook.com,erica.gomes+tag157@gmail.com
159,user0158@gmail.com,paula.paiva@yahoo.com,paula.paiva+tag158@gmail.com
160,user0159@gmail.com,lucas.carvalho@outlook.com,lucas.carvalho+tag159@gmail.com
161,user0160@gmail.com,beatriz.macedo@uol.com.br,beatriz.macedo+tag160@gmail.com
162,user0161@gmail.com,paula.araujo@uol.com.br,paula.araujo+tag161@gmail.com
163,user0162@gmail.com,maria.ferreira@hotmail.com,maria.ferreira+tag162@gmail.com
164,user0163@gmail.com,lucas.carvalho@uol.com.br,lucas.carvalho+tag163@gmail.com
165,user0164@gmail.com,mariana.gomes@outlook.com,mariana.gomes+tag164@gmail.com
166,user0165@gmail.com,fabio.melo@yahoo.com,fabio.melo+tag165@gmail.com
167,user0166@gmail.com,heitor.dias@yahoo.com,heitor.dias+tag166@gmail.com
168,user0167@gmail.com,ana.ferreira@uol.com.br,ana.ferreira+tag167@gmail.com
169,user0168@gmail.com,mariana.gomes@gmail.com,mariana.gomes+tag168@gmail.com
170,user0169@gmail.com,julia.ferreira@yahoo.com,julia.ferreira+tag169@gmail.com
171,user0170@gmail.com,lucas.pereira@gmail.com,lucas.pereira+tag170@gmail.com
172,user0171@gmail.com,joao.rodrigues@outlook.com,joao.rodrigues+tag171@gmail.com
173,user0172@gmail.com,mariana.lima@outlook.com,mariana.lima+tag172@gmail.com
174,user0173@gmail.com,erica.faria@yahoo.com,erica.faria+tag173@gmail.com
175,user0174@gmail.com,diego.dias@outlook.com,diego.dias+tag174@gmail.com
176,user0175@gmail.com,julia.pereira@gmail.com,julia.pereira+tag175@gmail.com
177,user0176@gmail.com,carlos.carvalho@yahoo.com,carlos.carvalho+tag176@gmail.com
178,user0177@gmail.com,beatriz.cruz@outlook.com,beatriz.cruz+tag177@gmail.com
179,user0178@gmail.com,joao.paiva@yahoo.com,joao.paiva+tag178@gmail.com
180,user0179@gmail.com,carlos.melo@yahoo.com,carlos.melo+tag179@gmail.com
181,user0180@gmail.com,fabio.cruz@uol.com.br,fabio.cruz+tag180@gmail.com
182,user0181@gmail.com,mariana.gomes@outlook.com,mariana.gomes+tag181@gmail.com
183,user0182@gmail.com,mariana.cruz@outlook.com,mariana.cruz+tag182@gmail.com
184,user0183@gmail.com,igor.melo@yahoo.com,igor.melo+tag183@gmail.com
185,user0184@gmail.com,gabi.melo@hotmail.com,gabi.melo+tag184@gmail.com
186,user0185@gmail.com,julia.alves@uol.com.br,julia.alves+tag185@gmail.com
187,user0186@gmail.com,gabi.rodrigues@hotmail.com,gabi.rodrigues+tag186@gmail.com
188,user0187@gmail.com,fabio.lima@hotmail.com,fabio.lima+tag187@gmail.com
189,user0188@gmail.com,julia.alves@hotmail.com,julia.alves+tag188@gmail.com
190,user0189@gmail.com,bruno.paiva@gmail.com,bruno.paiva+tag189@gmail.com
191,user0190@gmail.com,pedro.pereira@yahoo.com,pedro.pereira+tag190@gmail.com
192,user0191@gmail.com,diego.pereira@yahoo.com,diego.pereira+tag191@gmail.com
193,user0192@gmail.com,ana.carvalho@outlook.com,ana.carvalho+tag192@gmail.com
194,user0193@gmail.com,bruno.paiva@outlook.com,bruno.paiva+tag193@gmail.com
195,user0194@gmail.com,erica.souza@yahoo.com,erica.souza+tag194@gmail.com
196,user0195@gmail.com,erica.araujo@uol.com.br,erica.araujo+tag195@gmail.com
197,user0196@gmail.com,maria.faria@outlook.com,maria.faria+tag196@gmail.com
198,user0197@gmail.com,gabi.silva@hotmail.com,gabi.silva+tag197@gmail.com
199,user0198@gmail.com,paula.araujo@outlook.com,paula.araujo+tag198@gmail.com
200,user0199@gmail.com,igor.paiva@uol.com.br,igor.paiva+tag199@gmail.com
201,user0200@gmail.com,julia.dias@yahoo.com,julia.dias+tag200@gmail.com
202,user0201@gmail.com,rafael.carvalho@outlook.com,rafael.carvalho+tag201@gmail.com
203,user0202@gmail.com,maria.araujo@hotmail.com,maria.araujo+tag202@gmail.com
204,user0203@gmail.com,diego.santos@outlook.com,diego.santos+tag203@gmail.com
205,user0204@gmail.com,pedro.macedo@uol.com.br,pedro.macedo+tag204@gmail.com
206,user0205@gmail.com,maria.araujo@uol.com.br,maria.araujo+tag205@gmail.com
207,user0206@gmail.com,jose.silva@gmail.com,jose.silva+tag206@gmail.com
208,user0207@gmail.com,erica.pereira@outlook.com,erica.pereira+tag207@gmail.com
209,user0208@gmail.com,beatriz.souza@hotmail.com,beatriz.souza+tag208@gmail.com
210,user0209@gmail.com,diego.gomes@yahoo.com,diego.gomes+tag209@gmail.com
211,user0210@gmail.com,fabio.gomes@hotmail.com,fabio.gomes+tag210@gmail.com
212,user0211@gmail.com,diego.alves@outlook.com,diego.alves+tag211@gmail.com
213,user0212@gmail.com,rafael.lima@outlook.com,rafael.lima+tag212@gmail.com
214,user0213@gmail.com,maria.paiva@gmail.com,maria.paiva+tag213@gmail.com
215,user0214@gmail.com,clara.rodrigues@gmail.com,clara.rodrigues+tag214@gmail.com
216,user0215@gmail.com,joao.silva@yahoo.com,joao.silva+tag215@gmail.com
217,user0216@gmail.com,lucas.silva@uol.com.br,lucas.silva+tag216@gmail.com
218,user0217@gmail.com,pedro.rodrigues@yahoo.com,pedro.rodrigues+tag217@gmail.com
219,user0218@gmail.com,gabi.costa@uol.com.br,gabi.costa+tag218@gmail.com
220,user0219@gmail.com,lucas.melo@hotmail.com,lucas.melo+tag219@gmail.com
221,user0220@gmail.com,clara.santos@uol.com.br,clara.santos+tag220@gmail.com
222,user0221@gmail.com,mariana.costa@yahoo.com,mariana.costa+tag221@gmail.com
223,user0222@gmail.com,paula.costa@uol.com.br,paula.costa+tag222@gmail.com
224,user0223@gmail.com,maria.ferreira@uol.com.br,maria.ferreira+tag223@gmail.com
225,user0224@gmail.com,diego.araujo@yahoo.com,diego.araujo+tag224@gmail.com
226,user0225@gmail.com,ana.faria@yahoo.com,ana.faria+tag225@gmail.com
227,user0226@gmail.com,carlos.ferreira@uol.com.br,carlos.ferreira+tag226@gmail.com
228,user0227@gmail.com,carlos.faria@gmail.com,carlos.faria+tag227@gmail.com
229,user0228@gmail.com,clara.paiva@outlook.com,clara.paiva+tag228@gmail.com
230,user0229@gmail.com,clara.lima@uol.com.br,clara.lima+tag229@gmail.com
231,user0230@gmail.com,bruno.silva@outlook.com,bruno.silva+tag230@gmail.com
232,user0231@gmail.com,gabi.costa@outlook.com,gabi.costa+tag231@gmail.com
233,user0232@gmail.com,clara.melo@yahoo.com,clara.melo+tag232@gmail.com
234,user0233@gmail.com,erica.santos@uol.com.br,erica.santos+tag233@gmail.com
235,user0234@gmail.com,rafael.macedo@uol.com.br,rafael.macedo+tag234@gmail.com
236,user0235@gmail.com,gabi.melo@outlook.com,gabi.melo+tag235@gmail.com
237,user0236@gmail.com,jose.alves@hotmail.com,jose.alves+tag236@gmail.com
238,user0237@gmail.com,julia.lima@hotmail.com,julia.lima+tag237@gmail.com
239,user0238@gmail.com,fabio.rodrigues@outlook.com,fabio.rodrigues+tag238@gmail.com
240,user0239@gmail.com,jose.macedo@outlook.com,jose.macedo+tag239@gmail.com
241,user0240@gmail.com,bruno.silva@outlook.com,bruno.silva+tag240@gmail.com
242,user0241@gmail.com,bruno.santos@outlook.com,bruno.santos+tag241@gmail.com
243,user0242@gmail.com,lucas.martins@hotmail.com,lucas.martins+tag242@gmail.com
244,user0243@gmail.com,bruno.alves@uol.com.br,bruno.alves+tag243@gmail.com
245,user0244@gmail.com,rafael.paiva@gmail.com,rafael.paiva+tag244@gmail.com
246,user0245@gmail.com,heitor.oliveira@gmail.com,heitor.oliveira+tag245@gmail.com
247,user0246@gmail.com,julia.carvalho@outlook.com,julia.carvalho+tag246@gmail.com
248,user0247@gmail.com,igor.rodrigues@outlook.com,igor.rodrigues+tag247@gmail.com
249,user0248@gmail.com,gabi.melo@gmail.com,gabi.melo+tag248@gmail.com
250,user0249@gmail.com,ana.ferreira@yahoo.com,ana.ferreira+tag249@gmail.com
251,user0250@gmail.com,diego.rodrigues@hotmail.com,diego.rodrigues+tag250@gmail.com
252,user0251@gmail.com,jose.martins@outlook.com,jose.martins+tag251@gmail.com
253,user0252@gmail.com,igor.cruz@hotmail.com,igor.cruz+tag252@gmail.com
254,user0253@gmail.com,erica.paiva@hotmail.com,erica.paiva+tag253@gmail.com
255,user0254@gmail.com,clara.melo@hotmail.com,clara.melo+tag254@gmail.com
256,user0255@gmail.com,paula.alves@yahoo.com,paula.alves+tag255@gmail.com
257,user0256@gmail.com,carlos.oliveira@hotmail.com,carlos.oliveira+tag256@gmail.com
258,user0257@gmail.com,carlos.paiva@yahoo.com,carlos.paiva+tag257@gmail.com
259,user0258@gmail.com,lucas.oliveira@outlook.com,lucas.oliveira+tag258@gmail.com
260,user0259@gmail.com,rafael.faria@uol.com.br,rafael.faria+tag259@gmail.com
261,user0260@gmail.com,mariana.ferreira@gmail.com,mariana.ferreira+tag260@gmail.com
262,user0261@gmail.com,lucas.ferreira@yahoo.com,lucas.ferreira+tag261@gmail.com
263,user0262@gmail.com,clara.santos@hotmail.com,clara.santos+tag262@gmail.com
264,user0263@gmail.com,maria.paiva@yahoo.com,maria.paiva+tag263@gmail.com
265,user0264@gmail.com,rafael.souza@gmail.com,rafael.souza+tag264@gmail.com
266,user0265@gmail.com,igor.ferreira@yahoo.com,igor.ferreira+tag265@gmail.com
267,user0266@gmail.com,gabi.costa@gmail.com,gabi.costa+tag266@gmail.com
268,user0267@gmail.com,jose.ferreira@outlook.com,jose.ferreira+tag267@gmail.com
269,user0268@gmail.com,gabi.melo@hotmail.com,gabi.melo+tag268@gmail.com
270,user0269@gmail.com,beatriz.souza@hotmail.com,beatriz.souza+tag269@gmail.com
271,user0270@gmail.com,gabi.costa@gmail.com,gabi.costa+tag270@gmail.com
272,user0271@gmail.com,diego.dias@gmail.com,diego.dias+tag271@gmail.com
273,user0272@gmail.com,jose.souza@yahoo.com,jose.souza+tag272@gmail.com
274,user0273@gmail.com,pedro.faria@hotmail.com,pedro.faria+tag273@gmail.com
275,user0274@gmail.com,ana.rodrigues@gmail.com,ana.rodrigues+tag274@gmail.com
276,user0275@gmail.com,igor.carvalho@uol.com.br,igor.carvalho+tag275@gmail.com
277,user0276@gmail.com,mariana.macedo@yahoo.com,mariana.macedo+tag276@gmail.com
278,user0277@gmail.com,heitor.araujo@outlook.com,heitor.araujo+tag277@gmail.com
279,user0278@gmail.com,fabio.ferreira@uol.com.br,fabio.ferreira+tag278@gmail.com
280,user0279@gmail.com,erica.ferreira@uol.com.br,erica.ferreira+tag279@gmail.com
281,user0280@gmail.com,mariana.souza@uol.com.br,mariana.souza+tag280@gmail.com
282,user0281@gmail.com,carlos.oliveira@yahoo.com,carlos.oliveira+tag281@gmail.com
283,user0282@gmail.com,rafael.lima@yahoo.com,rafael.lima+tag282@gmail.com
284,user0283@gmail.com,julia.santos@uol.com.br,julia.santos+tag283@gmail.com
285,user0284@gmail.com,ana.santos@gmail.com,ana.santos+tag284@gmail.com
286,user0285@gmail.com,erica.melo@uol.com.br,erica.melo+tag285@gmail.com
287,user0286@gmail.com,gabi.ferreira@gmail.com,gabi.ferreira+tag286@gmail.com
288,user0287@gmail.com,julia.ferreira@hotmail.com,julia.ferreira+tag287@gmail.com
289,user0288@gmail.com,fabio.lima@yahoo.com,fabio.lima+tag288@gmail.com
290,user0289@gmail.com,rafael.faria@yahoo.com,rafael.faria+tag289@gmail.com
291,user0290@gmail.com,erica.costa@uol.com.br,erica.costa+tag290@gmail.com
292,user0291@gmail.com,julia.pereira@hotmail.com,julia.pereira+tag291@gmail.com
293,user0292@gmail.com,pedro.lima@gmail.com,pedro.lima+tag292@gmail.com
294,user0293@gmail.com,beatriz.ferreira@uol.com.br,beatriz.ferreira+tag293@gmail.com
295,user0294@gmail.com,jose.ferreira@outlook.com,jose.ferreira+tag294@gmail.com
296,user0295@gmail.com,carlos.melo@hotmail.com,carlos.melo+tag295@gmail.com
297,user0296@gmail.com,diego.alves@uol.com.br,diego.alves+tag296@gmail.com
298,user0297@gmail.com,igor.dias@outlook.com,igor.dias+tag297@gmail.com
299,user0298@gmail.com,ana.macedo@gmail.com,ana.macedo+tag298@gmail.com
300,user0299@gmail.com,erica.gomes@uol.com.br,erica.gomes+tag299@gmail.com
301,user0300@gmail.com,rafael.silva@gmail.com,rafael.silva+tag300@gmail.com
302,user0301@gmail.com,julia.faria@uol.com.br,julia.faria+tag301@gmail.com
303,user0302@gmail.com,maria.alves@uol.com.br,maria.alves+tag302@gmail.com
304,user0303@gmail.com,joao.santos@outlook.com,joao.santos+tag303@gmail.com
305,user0304@gmail.com,heitor.melo@hotmail.com,heitor.melo+tag304@gmail.com
306,user0305@gmail.com,beatriz.faria@outlook.com,beatriz.faria+tag305@gmail.com
307,user0306@gmail.com,gabi.lima@outlook.com,gabi.lima+tag306@gmail.com
308,user0307@gmail.com,clara.carvalho@hotmail.com,clara.carvalho+tag307@gmail.com
309,user0308@gmail.com,bruno.costa@yahoo.com,bruno.costa+tag308@gmail.com
310,user0309@gmail.com,bruno.carvalho@outlook.com,bruno.carvalho+tag309@gmail.com
311,user0310@gmail.com,paula.araujo@uol.com.br,paula.araujo+tag310@gmail.com
312,user0311@gmail.com,joao.melo@gmail.com,joao.melo+tag311@gmail.com
313,user0312@gmail.com,bruno.alves@hotmail.com,bruno.alves+tag312@gmail.com
314,user0313@gmail.com,carlos.araujo@uol.com.br,carlos.araujo+tag313@gmail.com
315,user0314@gmail.com,maria.paiva@outlook.com,maria.paiva+tag314@gmail.com
316,user0315@gmail.com,erica.souza@yahoo.com,erica.souza+tag315@gmail.com
317,user0316@gmail.com,heitor.martins@uol.com.br,heitor.martins+tag316@gmail.com
318,user0317@gmail.com,gabi.melo@gmail.com,gabi.melo+tag317@gmail.com
319,user0318@gmail.com,lucas.alves@uol.com.br,lucas.alves+tag318@gmail.com
320,user0319@gmail.com,pedro.ferreira@outlook.com,pedro.ferreira+tag319@gmail.com
321,user0320@gmail.com,gabi.costa@gmail.com,gabi.costa+tag320@gmail.com
322,user0321@gmail.com,mariana.rodrigues@yahoo.com,mariana.rodrigues+tag321@gmail.com
