id,cpf_fmt,cpf_sem_mask,cnpj_fmt,cnpj_sem_mask,filial_num
39,957.869.767-72,95786976772,45.575.298/0002-40,45575298000240,2
40,351.882.896-84,35188289684,97.705.310/0002-62,97705310000262,2
41,315.812.931-14,31581293114,73.791.320/0003-62,73791320000362,3
42,435.469.128-74,43546912874,70.855.700/0002-99,70855700000299,2
43,620.038.747-27,62003874727,54.349.361/0001-70,54349361000170,1
44,367.251.493-13,36725149313,55.377.076/0004-54,55377076000454,4
45,410.422.862-66,41042286266,28.728.463/0002-61,28728463000261,2
46,457.696.127-16,45769612716,19.046.318/0001-45,19046318000145,1
47,974.075.070-57,97407507057,66.661.351/0004-96,66661351000496,4
48,552.527.019-91,55252701991,22.660.194/0001-24,22660194000124,1
49,325.967.472-12,32596747212,68.353.204/0003-14,68353204000314,3
50,920.699.640-28,92069964028,43.101.783/0003-50,43101783000350,3
51,934.786.760-81,93478676081,66.661.351/0001-59,66661351000159,1
52,911.727.547-29,91172754729,26.753.883/0003-15,26753883000315,3
53,688.787.844-64,68878784464,95.822.412/0005-78,95822412000578,5
54,580.908.997-06,58090899706,28.740.864/0001-95,28740864000195,1
55,569.043.536-69,56904353669,95.758.349/0003-94,95758349000394,3
56,265.270.997-95,26527099795,81.498.611/0003-74,81498611000374,3
57,547.037.071-57,54703707157,97.971.488/0003-80,97971488000380,3
58,363.165.007-26,36316500726,71.586.053/0004-96,71586053000496,4
59,923.518.203-56,92351820356,55.657.579/0003-61,55657579000361,3
60,486.564.491-63,48656449163,57.683.626/0002-65,57683626000265,2
61,906.842.198-03,90684219803,78.139.880/0003-69,78139880000369,3
62,720.269.986-28,72026998628,12.614.124/0002-75,12614124000275,2
63,490.188.997-20,49018899720,90.048.665/0005-52,90048665000552,5
64,413.980.125-17,41398012517,43.273.328/0002-28,43273328000228,2
65,143.998.735-51,14399873551,48.840.994/0004-88,48840994000488,4
66,704.423.370-08,70442337008,96.282.117/0005-34,96282117000534,5
67,760.736.844-06,76073684406,38.538.251/0002-28,38538251000228,2
68,418.907.600-83,41890760083,15.831.819/0005-69,15831819000569,5
69,832.301.303-40,83230130340,20.709.497/0001-68,20709497000168,1
70,940.049.444-72,94004944472,32.969.840/0004-88,32969840000488,4
71,825.506.747-34,82550674734,45.551.614/0005-67,45551614000567,5
72,353.283.159-61,35328315961,32.162.965/0004-67,32162965000467,4
73,470.984.733-91,47098473391,82.383.095/0005-72,82383095000572,5
74,427.566.351-13,42756635113,58.966.946/0004-19,58966946000419,4
75,517.193.575-31,51719357531,98.753.260/0003-52,98753260000352,3
76,209.098.707-27,20909870727,38.898.923/0002-39,38898923000239,2
77,195.088.552-12,19508855212,96.282.117/0004-52,96282117000452,4
78,724.600.392-59,72460039259,96.282.117/0001-36,96282117000136,1
79,694.118.151-82,69411815182,38.317.637/0005-99,38317637000599,5
80,640.121.787-83,64012178783,78.387.461/0001-55,78387461000155,1
81,694.240.021-63,69424002163,81.016.525/0005-87,81016525000587,5
82,439.208.414-46,43920841446,22.201.654/0002-44,22201654000244,2
83,762.964.107-18,76296410718,23.756.669/0004-53,23756669000453,4
84,649.676.027-42,64967602742,26.879.290/0002-69,26879290000269,2
85,311.292.703-78,31129270378,95.758.349/0005-13,95758349000513,5
86,654.348.373-71,65434837371,10.435.578/0005-94,10435578000594,5
87,187.063.370-23,18706337023,60.185.867/0004-27,60185867000427,4
88,738.526.403-55,73852640355,71.662.963/0001-43,71662963000143,1
89,545.779.116-67,54577911667,93.016.315/0004-51,93016315000451,4
90,653.176.325-35,65317632535,31.831.063/0004-42,31831063000442,4
91,221.758.496-80,22175849680,39.436.733/0001-79,39436733000179,1
92,613.331.042-19,61333104219,35.808.537/0001-93,35808537000193,1
93,368.318.774-73,36831877473,88.979.095/0001-89,88979095000189,1
94,407.192.482-67,40719248267,55.667.651/0004-95,55667651000495,4
95,878.007.102-57,87800710257,98.447.167/0002-69,98447167000269,2
96,473.639.175-52,47363917552,82.383.095/0003-31,82383095000331,3
97,942.066.679-25,94206667925,65.177.213/0001-30,65177213000130,1
98,527.981.498-36,52798149836,89.089.901/0005-13,89089901000513,5
99,526.442.456-86,52644245686,49.392.920/0004-60,49392920000460,4
100,194.417.545-05,19441754505,10.435.578/0002-23,10435578000223,2
101,945.432.488-20,94543248820,43.273.328/0001-82,43273328000182,1
102,176.563.605-18,17656360518,95.899.313/0005-64,95899313000564,5
103,600.858.527-71,60085852771,77.827.638/0005-92,77827638000592,5
104,114.655.767-48,11465576748,19.528.530/0004-72,19528530000472,4
105,662.878.608-35,66287860835,66.851.760/0003-91,66851760000391,3
106,664.916.668-30,66491666830,15.831.819/0005-93,15831819000593,5
107,927.643.736-70,92764373670,43.273.328/0005-71,43273328000571,5
108,678.311.925-07,67831192507,88.961.459/0005-44,88961459000544,5
109,226.041.050-20,22604105020,31.831.063/0004-41,31831063000441,4
110,733.528.132-47,73352813247,55.657.579/0005-95,55657579000595,5
111,545.774.196-27,54577419627,23.756.669/0004-51,23756669000451,4
112,752.055.056-71,75205505671,93.016.315/0003-43,93016315000343,3
113,458.214.825-66,45821482566,79.008.866/0005-99,79008866000599,5
114,481.397.706-37,48139770637,82.070.937/0001-76,82070937000176,1
115,398.417.015-67,39841701567,36.687.537/0002-62,36687537000262,2
116,851.128.699-12,85112869912,66.792.612/0002-98,66792612000298,2
117,979.441.502-50,97944150250,75.228.535/0004-67,75228535000467,4
118,134.056.207-55,13405620755,83.140.807/0003-38,83140807000338,3
119,496.996.933-79,49699693379,90.388.981/0005-57,90388981000557,5
120,850.470.823-55,85047082355,89.978.790/0003-64,89978790000364,3
121,553.135.734-53,55313573453,39.476.249/0004-44,39476249000444,4
122,456.766.740-87,45676674087,16.150.444/0001-34,16150444000134,1
123,242.401.699-90,24240169990,32.162.965/0005-98,32162965000598,5
124,365.650.163-14,36565016314,58.537.831/0004-45,58537831000445,4
125,904.214.801-95,90421480195,96.728.778/0005-86,96728778000586,5
126,494.884.343-29,49488434329,19.335.534/0003-32,19335534000332,3
127,112.982.294-37,11298229437,21.496.211/0005-26,21496211000526,5
128,154.731.254-99,15473125499,97.705.310/0001-80,97705310000180,1
129,312.347.032-05,31234703205,30.513.739/0004-23,30513739000423,4
130,137.483.027-39,13748302739,24.972.279/0003-70,24972279000370,3
131,721.856.040-10,72185604010,46.231.783/0002-16,46231783000216,2
132,781.255.813-88,78125581388,10.872.248/0001-61,10872248000161,1
133,207.019.700-01,20701970001,49.392.920/0001-29,49392920000129,1
134,198.948.982-06,19894898206,20.709.497/0001-81,20709497000181,1
135,691.178.344-48,69117834448,78.139.880/0005-89,78139880000589,5
136,637.840.394-99,63784039499,88.461.803/0004-48,88461803000448,4
137,910.037.990-33,91003799033,45.551.614/0003-82,45551614000382,3
138,169.622.593-39,16962259339,24.282.218/0001-36,24282218000136,1
139,384.563.703-78,38456370378,47.308.985/0001-30,47308985000130,1
140,325.050.495-77,32505049577,25.374.874/0001-30,25374874000130,1
141,658.460.670-02,65846067002,88.461.803/0005-70,88461803000570,5
142,155.459.164-32,15545916432,16.150.444/0003-46,16150444000346,3
143,205.399.842-90,20539984290,51.273.847/0002-43,51273847000243,2
144,899.940.150-16,89994015016,90.388.981/0002-64,90388981000264,2
145,835.074.044-83,83507404483,35.808.537/0002-44,35808537000244,2
146,307.302.229-87,30730222987,90.801.586/0001-31,90801586000131,1
147,520.590.194-31,52059019431,45.351.479/0005-46,45351479000546,5
148,247.710.516-06,24771051606,58.586.340/0003-99,58586340000399,3
149,798.887.652-21,79888765221,43.744.231/0004-66,43744231000466,4
150,919.498.737-52,91949873752,89.254.563/0004-51,89254563000451,4
151,469.526.687-32,46952668732,28.728.463/0001-39,28728463000139,1
152,897.798.726-85,89779872685,67.854.710/0001-96,67854710000196,1
153,478.877.157-51,47887715751,49.392.920/0001-32,49392920000132,1
154,807.402.623-79,80740262379,82.394.227/0004-45,82394227000445,4
155,683.485.464-32,68348546432,36.697.396/0004-21,36697396000421,4
156,592.633.195-40,59263319540,77.005.685/0003-51,77005685000351,3
157,257.631.034-12,25763103412,17.901.903/0002-52,17901903000252,2
158,507.827.289-19,50782728919,90.388.981/0004-80,90388981000480,4
159,702.871.551-35,70287155135,97.226.012/0003-42,97226012000342,3
160,242.733.522-25,24273352225,17.270.733/0004-75,17270733000475,4
161,867.483.489-39,86748348939,63.606.628/0004-16,63606628000416,4
162,795.251.376-18,79525137618,17.507.864/0005-73,17507864000573,5
163,728.156.522-42,72815652242,66.792.612/0001-36,66792612000136,1
164,841.614.418-48,84161441848,47.295.260/0003-66,47295260000366,3
165,249.667.232-13,24966723213,23.756.669/0005-40,23756669000540,5
166,345.233.305-06,34523330506,91.756.179/0005-11,91756179000511,5
167,682.064.765-98,68206476598,83.140.807/0002-24,83140807000224,2
168,964.038.591-71,96403859171,40.885.476/0002-73,40885476000273,2
169,799.730.125-90,79973012590,20.570.592/0003-63,20570592000363,3
170,780.096.214-72,78009621472,96.728.778/0004-41,96728778000441,4
171,849.763.269-81,84976326981,23.718.431/0004-34,23718431000434,4
172,955.637.721-81,95563772181,66.661.351/0002-18,66661351000218,2
173,547.318.370-94,54731837094,35.556.386/0005-44,35556386000544,5
174,135.242.331-68,13524233168,59.684.848/0003-85,59684848000385,3
175,772.589.333-93,77258933393,19.046.318/0002-67,19046318000267,2
176,767.376.954-11,76737695411,95.899.313/0003-80,95899313000380,3
177,862.909.572-43,86290957243,63.843.426/0004-51,63843426000451,4
178,395.047.145-83,39504714583,42.329.237/0002-83,42329237000283,2
179,417.096.183-48,41709618348,17.901.903/0004-15,17901903000415,4
180,631.769.828-68,63176982868,90.388.981/0002-73,90388981000273,2
181,184.388.567-18,18438856718,55.667.651/0005-85,55667651000585,5
182,737.589.588-32,73758958832,39.587.039/0005-68,39587039000568,5
183,664.537.176-46,66453717646,14.216.175/0002-19,14216175000219,2
184,485.224.362-57,48522436257,60.929.647/0005-98,60929647000598,5
185,976.065.237-97,97606523797,85.329.037/0003-96,85329037000396,3
186,867.052.906-22,86705290622,45.935.572/0003-90,45935572000390,3
187,776.861.153-90,77686115390,54.349.361/0005-14,54349361000514,5
188,212.419.027-97,21241902797,98.753.260/0003-39,98753260000339,3
189,217.972.717-12,21797271712,43.101.783/0001-91,43101783000191,1
190,705.612.174-54,70561217454,56.164.955/0003-13,56164955000313,3
191,531.472.026-62,53147202662,79.467.853/0001-47,79467853000147,1
192,587.842.285-93,58784228593,28.740.864/0002-41,28740864000241,2
193,681.159.168-26,68115916826,96.028.436/0002-31,96028436000231,2
194,193.418.517-54,19341851754,24.282.218/0004-89,24282218000489,4
195,429.988.117-55,42998811755,30.514.014/0005-28,30514014000528,5
196,711.267.839-05,71126783905,30.513.739/0003-68,30513739000368,3
197,735.854.148-80,73585414880,38.754.377/0003-96,38754377000396,3
198,338.224.576-18,33822457618,90.801.586/0004-54,90801586000454,4
199,915.513.430-50,91551343050,45.833.156/0004-98,45833156000498,4
200,712.037.058-42,71203705842,10.965.138/0003-35,10965138000335,3
201,658.318.843-38,65831884338,94.705.205/0004-23,94705205000423,4
202,625.583.982-88,62558398288,24.972.279/0003-83,24972279000383,3
203,516.580.864-56,51658086456,39.958.838/0004-45,39958838000445,4
204,873.441.918-28,87344191828,19.046.318/0001-87,19046318000187,1
205,776.249.994-79,77624999479,40.885.476/0003-39,40885476000339,3
206,415.779.780-60,41577978060,36.697.396/0002-89,36697396000289,2
207,964.868.082-62,96486808262,66.306.997/0001-49,66306997000149,1
208,735.165.983-88,73516598388,83.197.857/0005-56,83197857000556,5
209,303.253.304-35,30325330435,83.140.807/0003-51,83140807000351,3
210,690.449.807-10,69044980710,45.503.389/0002-26,45503389000226,2
211,863.924.908-46,86392490846,19.510.312/0003-77,19510312000377,3
212,450.664.512-90,45066451290,86.644.106/0004-47,86644106000447,4
213,706.241.922-75,70624192275,65.177.213/0001-28,65177213000128,1
214,596.382.797-31,59638279731,83.140.807/0004-11,83140807000411,4
215,841.502.849-80,84150284980,66.722.344/0004-57,66722344000457,4
216,472.474.201-20,47247420120,31.227.574/0004-91,31227574000491,4
217,612.831.631-99,61283163199,89.089.901/0002-70,89089901000270,2
218,917.118.586-70,91711858670,41.944.441/0005-51,41944441000551,5
219,955.353.728-23,95535372823,87.490.893/0001-91,87490893000191,1
220,736.679.739-44,73667973944,27.758.595/0003-93,27758595000393,3
221,246.385.192-59,24638519259,38.898.923/0001-14,38898923000114,1
222,250.007.085-13,25000708513,66.306.997/0002-78,66306997000278,2
223,621.222.802-06,62122280206,67.503.414/0003-95,67503414000395,3
224,681.546.839-49,68154683949,70.897.765/0002-63,70897765000263,2
225,256.977.700-38,25697770038,40.885.476/0004-88,40885476000488,4
226,484.464.922-15,48446492215,83.197.857/0003-37,83197857000337,3
227,720.338.579-99,72033857999,67.854.710/0002-56,67854710000256,2
228,601.896.145-72,60189614572,84.252.722/0003-17,84252722000317,3
229,460.697.351-17,46069735117,26.753.883/0001-68,26753883000168,1
230,968.103.334-66,96810333466,30.513.739/0005-12,30513739000512,5
231,414.971.819-86,41497181986,55.667.651/0005-36,55667651000536,5
232,863.007.699-25,86300769925,94.374.605/0005-37,94374605000537,5
233,539.503.946-71,53950394671,51.837.852/0002-86,51837852000286,2
234,443.719.169-63,44371916963,17.901.903/0002-26,17901903000226,2
235,466.799.461-08,46679946108,70.597.444/0002-24,70597444000224,2
236,272.905.940-97,27290594097,46.913.810/0003-40,46913810000340,3
237,554.787.770-03,55478777003,42.868.828/0002-43,42868828000243,2
238,274.049.212-67,27404921267,83.793.389/0004-77,83793389000477,4
239,746.974.891-25,74697489125,45.264.581/0003-75,45264581000375,3
240,254.346.780-20,25434678020,88.461.803/0005-38,88461803000538,5
241,956.649.078-81,95664907881,66.629.388/0005-48,66629388000548,5
242,978.666.235-58,97866623558,65.177.213/0001-17,65177213000117,1
243,787.134.069-10,78713406910,10.965.138/0004-64,10965138000464,4
244,258.316.681-97,25831668197,16.323.852/0004-19,16323852000419,4
245,224.522.559-45,22452255945,81.691.040/0005-28,81691040000528,5
246,274.619.722-41,27461972241,58.966.946/0005-91,58966946000591,5
247,855.285.662-09,85528566209,75.228.535/0003-58,75228535000358,3
248,958.762.722-98,95876272298,89.978.790/0003-68,89978790000368,3
249,937.757.039-67,93775703967,28.740.864/0001-99,28740864000199,1
250,987.113.166-62,98711316662,19.510.312/0005-37,19510312000537,5
251,719.766.784-66,71976678466,47.376.585/0002-62,47376585000262,2
252,634.873.705-05,63487370505,96.282.117/0001-50,96282117000150,1
253,547.826.104-20,54782610420,53.507.489/0003-57,53507489000357,3
254,312.755.178-68,31275517868,51.273.847/0004-18,51273847000418,4
255,189.565.717-40,18956571740,28.740.864/0001-57,28740864000157,1
256,306.663.917-41,30666391741,82.070.937/0001-85,82070937000185,1
257,871.231.154-93,87123115493,45.812.670/0003-95,45812670000395,3
258,663.595.542-09,66359554209,39.476.249/0004-16,39476249000416,4
259,528.139.460-85,52813946085,77.187.530/0003-55,77187530000355,3
260,877.543.723-65,87754372365,31.472.420/0002-29,31472420000229,2
261,772.451.703-71,77245170371,35.808.537/0001-54,35808537000154,1
262,866.452.952-00,86645295200,14.308.421/0001-45,14308421000145,1
263,425.305.118-28,42530511828,43.273.328/0004-81,43273328000481,4
264,951.194.952-25,95119495225,93.926.371/0005-13,93926371000513,5
265,473.381.744-38,47338174438,23.756.669/0002-44,23756669000244,2
266,587.041.760-57,58704176057,24.942.603/0002-28,24942603000228,2
267,203.112.902-65,20311290265,55.176.955/0001-21,55176955000121,1
268,819.240.023-54,81924002354,58.537.831/0004-63,58537831000463,4
269,548.980.667-91,54898066791,22.981.052/0003-49,22981052000349,3
270,560.489.040-40,56048904040,51.837.852/0005-86,51837852000586,5
271,274.058.223-68,27405822368,22.981.052/0005-16,22981052000516,5
272,214.846.081-88,21484608188,95.320.121/0004-94,95320121000494,4
273,762.456.390-18,76245639018,78.139.880/0004-63,78139880000463,4
274,369.430.464-45,36943046445,91.415.657/0005-24,91415657000524,5
275,673.170.809-66,67317080966,47.338.124/0003-96,47338124000396,3
276,902.234.876-00,90223487600,22.201.654/0005-95,22201654000595,5
277,156.196.184-97,15619618497,87.490.893/0004-86,87490893000486,4
278,102.352.867-33,10235286733,49.349.722/0003-37,49349722000337,3
279,304.756.103-04,30475610304,38.427.073/0003-47,38427073000347,3
280,242.941.766-74,24294176674,24.942.603/0004-65,24942603000465,4
281,279.344.726-24,27934472624,45.935.572/0005-39,45935572000539,5
282,851.630.544-43,85163054443,40.885.476/0003-19,40885476000319,3
283,174.820.105-33,17482010533,43.101.783/0001-68,43101783000168,1
284,225.462.971-32,22546297132,40.728.046/0003-83,40728046000383,3
285,891.531.732-98,89153173298,97.971.488/0004-47,97971488000447,4
286,620.342.734-32,62034273432,39.958.838/0003-31,39958838000331,3
287,727.843.699-33,72784369933,84.346.088/0003-21,84346088000321,3
288,405.194.497-84,40519449784,43.101.783/0005-61,43101783000561,5
289,208.403.365-93,20840336593,52.235.350/0003-53,52235350000353,3
290,539.013.177-10,53901317710,63.551.839/0002-19,63551839000219,2
291,980.918.549-40,98091854940,10.872.248/0005-75,10872248000575,5
292,605.785.151-17,60578515117,84.752.529/0002-40,84752529000240,2
293,276.214.112-74,27621411274,23.556.182/0002-32,23556182000232,2
294,297.671.531-32,29767153132,66.792.612/0001-32,66792612000132,1
295,771.215.288-85,77121528885,63.606.628/0005-84,63606628000584,5
296,983.238.196-75,98323819675,36.697.396/0005-51,36697396000551,5
297,556.435.512-00,55643551200,22.448.136/0004-18,22448136000418,4
298,721.435.428-71,72143542871,91.734.598/0003-45,91734598000345,3
299,168.350.958-08,16835095808,39.476.249/0005-19,39476249000519,5
300,714.627.337-04,71462733704,88.461.803/0001-17,88461803000117,1
301,198.229.210-69,19822921069,31.682.744/0001-88,31682744000188,1
302,812.710.301-24,81271030124,18.883.684/0004-84,18883684000484,4
303,181.427.287-26,18142728726,88.461.803/0005-93,88461803000593,5
304,537.581.553-15,53758155315,33.978.249/0004-74,33978249000474,4
305,703.952.876-78,70395287678,70.291.817/0003-20,70291817000320,3
306,980.663.673-87,98066367387,45.503.389/0001-41,45503389000141,1
307,731.687.542-21,73168754221,85.345.555/0005-76,85345555000576,5
308,340.939.307-75,34093930775,40.742.311/0003-46,40742311000346,3
309,674.985.163-18,67498516318,51.837.852/0003-96,51837852000396,3
310,168.628.675-47,16862867547,68.800.797/0003-18,68800797000318,3
311,243.009.129-21,24300912921,82.070.937/0004-46,82070937000446,4
312,535.955.214-86,53595521486,85.329.037/0005-94,85329037000594,5
313,501.571.745-08,50157174508,72.682.989/0004-26,72682989000426,4
314,226.186.233-78,22618623378,91.756.179/0005-58,91756179000558,5
315,826.384.109-99,82638410999,83.140.807/0004-75,83140807000475,4
316,115.540.398-48,11554039848,17.507.864/0003-33,17507864000333,3
317,398.550.448-77,39855044877,46.231.783/0004-34,46231783000434,4
318,277.707.079-00,27770707900,13.561.597/0003-22,13561597000322,3
319,165.564.034-44,16556403444,90.388.981/0003-89,90388981000389,3
320,921.672.299-80,92167229980,63.843.426/0002-30,63843426000230,2
321,353.517.144-08,35351714408,81.498.611/0004-15,81498611000415,4
322,590.092.645-66,59009264566,25.014.631/0002-66,25014631000266,2
323,512.771.930-30,51277193030,80.823.176/0004-39,80823176000439,4
324,423.583.315-08,42358331508,91.756.179/0004-34,91756179000434,4
325,913.773.044-19,91377304419,85.345.555/0004-46,85345555000446,4
326,648.816.248-36,64881624836,94.214.382/0005-63,94214382000563,5
327,356.249.266-23,35624926623,55.377.076/0002-87,55377076000287,2
328,153.687.229-28,15368722928,60.185.867/0004-57,60185867000457,4
329,823.525.563-97,82352556397,19.528.530/0001-46,19528530000146,1
330,450.482.746-19,45048274619,88.461.803/0005-28,88461803000528,5
331,694.038.933-23,69403893323,83.140.807/0002-67,83140807000267,2
332,610.440.961-97,61044096197,64.634.663/0001-63,64634663000163,1
333,617.683.441-56,61768344156,94.214.382/0003-40,94214382000340,3
334,575.951.329-40,57595132940,35.808.537/0001-50,35808537000150,1
335,268.827.687-33,26882768733,88.979.095/0003-28,88979095000328,3
336,148.859.530-49,14885953049,57.683.626/0004-99,57683626000499,4
337,307.494.615-54,30749461554,66.792.612/0004-67,66792612000467,4
338,126.429.006-40,12642900640,82.374.753/0001-12,82374753000112,1
339,368.689.886-75,36868988675,40.885.476/0002-80,40885476000280,2
340,813.345.968-50,81334596850,29.175.900/0001-46,29175900000146,1
341,496.753.626-87,49675362687,66.722.344/0001-40,66722344000140,1
342,977.024.828-92,97702482892,79.467.853/0005-68,79467853000568,5
343,231.546.565-61,23154656561,88.979.095/0004-86,88979095000486,4
344,123.023.334-90,12302333490,91.734.598/0005-83,91734598000583,5
345,492.713.635-13,49271363513,45.551.614/0001-88,45551614000188,1
346,415.801.044-22,41580104422,24.972.279/0004-33,24972279000433,4
347,790.871.858-71,79087185871,97.705.310/0003-18,97705310000318,3
348,828.143.143-36,82814314336,84.252.722/0005-74,84252722000574,5
349,123.800.645-37,12380064537,38.317.637/0004-15,38317637000415,4
350,642.697.928-11,64269792811,52.339.391/0003-12,52339391000312,3
351,575.348.063-43,57534806343,40.587.988/0001-84,40587988000184,1
352,286.080.257-34,28608025734,66.629.388/0003-79,66629388000379,3
353,342.356.226-41,34235622641,84.346.088/0004-99,84346088000499,4
354,979.546.216-62,97954621662,71.662.963/0002-18,71662963000218,2
355,741.822.954-22,74182295422,21.668.732/0003-35,21668732000335,3
356,531.296.576-14,53129657614,64.634.663/0003-75,64634663000375,3
357,865.165.864-78,86516586478,28.566.572/0003-14,28566572000314,3
358,991.347.057-79,99134705779,26.753.883/0003-55,26753883000355,3
359,557.660.177-40,55766017740,95.320.121/0001-57,95320121000157,1
360,656.476.523-59,65647652359,60.929.647/0002-73,60929647000273,2
361,773.969.209-60,77396920960,14.308.421/0005-44,14308421000544,5
362,220.308.394-26,22030839426,27.232.410/0004-20,27232410000420,4
363,934.538.222-58,93453822258,12.823.170/0002-79,12823170000279,2
364,542.113.901-40,54211390140,70.291.817/0001-51,70291817000151,1
365,514.933.321-16,51493332116,19.583.482/0004-87,19583482000487,4
366,689.169.135-73,68916913573,56.164.955/0004-54,56164955000454,4
367,162.153.745-72,16215374572,27.232.410/0003-88,27232410000388,3
368,701.215.990-25,70121599025,58.966.946/0001-19,58966946000119,1
369,987.820.587-70,98782058770,97.971.488/0003-75,97971488000375,3
370,343.928.828-16,34392882816,67.854.710/0001-28,67854710000128,1
371,952.493.855-48,95249385548,25.014.631/0004-14,25014631000414,4
372,191.320.884-18,19132088418,98.753.260/0003-56,98753260000356,3
373,167.312.645-04,16731264504,33.978.249/0002-96,33978249000296,2
374,588.379.206-96,58837920696,82.340.307/0001-83,82340307000183,1
375,793.108.727-06,79310872706,40.742.311/0004-50,40742311000450,4
376,471.495.805-08,47149580508,20.709.497/0001-13,20709497000113,1
377,346.345.359-47,34634535947,30.514.014/0005-59,30514014000559,5
378,869.380.792-21,86938079221,31.429.110/0003-43,31429110000343,3
379,731.533.615-35,73153361535,93.016.315/0005-46,93016315000546,5
380,787.135.876-64,78713587664,84.093.639/0001-27,84093639000127,1
381,222.527.956-30,22252795630,88.461.803/0002-66,88461803000266,2
382,228.731.440-22,22873144022,40.158.366/0003-95,40158366000395,3
383,832.933.552-46,83293355246,43.744.231/0003-48,43744231000348,3
384,351.314.086-53,35131408653,75.228.535/0002-56,75228535000256,2
385,422.498.603-59,42249860359,66.722.344/0002-27,66722344000227,2
386,121.218.080-73,12121808073,17.507.864/0005-83,17507864000583,5
387,717.140.035-51,71714003551,26.240.908/0005-26,26240908000526,5
388,189.602.272-73,18960227273,91.756.179/0004-71,91756179000471,4
389,680.924.205-09,68092420509,82.383.095/0004-83,82383095000483,4
390,274.966.260-86,27496626086,17.270.733/0003-92,17270733000392,3
391,704.480.784-71,70448078471,58.586.340/0005-54,58586340000554,5
392,982.671.761-66,98267176166,70.897.765/0002-26,70897765000226,2
393,805.775.581-21,80577558121,86.644.106/0001-25,86644106000125,1
394,294.051.009-08,29405100908,96.977.837/0002-30,96977837000230,2
395,431.113.294-04,43111329404,95.899.313/0005-46,95899313000546,5
396,222.231.922-12,22223192212,41.244.663/0002-91,41244663000291,2
397,871.219.429-77,87121942977,58.966.946/0002-90,58966946000290,2
398,929.050.003-91,92905000391,72.820.592/0001-74,72820592000174,1
399,342.278.565-31,34227856531,10.435.578/0005-29,10435578000529,5
400,954.784.429-54,95478442954,60.929.647/0005-15,60929647000515,5
401,187.117.978-19,18711797819,66.629.388/0005-43,66629388000543,5
402,385.663.857-52,38566385752,82.383.095/0005-63,82383095000563,5
403,985.541.013-84,98554101384,23.756.669/0004-90,23756669000490,4
404,509.979.431-08,50997943108,60.185.867/0003-71,60185867000371,3
405,503.988.597-78,50398859778,67.503.414/0001-98,67503414000198,1
406,317.321.610-16,31732161016,85.345.555/0004-71,85345555000471,4
407,377.645.676-72,37764567672,46.231.783/0005-28,46231783000528,5
408,560.350.180-60,56035018060,98.550.256/0003-61,98550256000361,3
409,803.109.347-66,80310934766,45.812.670/0001-50,45812670000150,1
