id,br_celular_fmt,br_celular_sem,br_fixo_fmt,com_ddi,tpch_style
64,(11) 967154-1027,119671541027,(11) 4129-9821,+55 11 967154-1027,11-803-836-4228
65,(51) 966531-2146,519665312146,(51) 5886-6409,+55 51 966531-2146,51-738-421-3041
66,(48) 976469-6067,489764696067,(48) 4731-7691,+55 48 976469-6067,48-434-512-5844
67,(81) 926683-4143,819266834143,(81) 3722-7211,+55 81 926683-4143,81-793-866-3851
68,(85) 984593-5930,859845935930,(85) 3663-9977,+55 85 984593-5930,85-953-100-5978
69,(48) 937549-8043,489375498043,(48) 5218-6279,+55 48 937549-8043,48-576-552-8244
70,(41) 977000-8752,419770008752,(41) 5251-3780,+55 41 977000-8752,41-774-186-5649
71,(81) 997012-6491,819970126491,(81) 2382-4848,+55 81 997012-6491,81-788-417-4680
72,(41) 929313-1400,419293131400,(41) 2189-5011,+55 41 929313-1400,41-586-725-2193
73,(71) 964321-4185,719643214185,(71) 4942-7291,+55 71 964321-4185,71-606-509-4997
74,(31) 995990-1090,319959901090,(31) 5656-2746,+55 31 995990-1090,31-897-535-4585
75,(31) 977889-8611,319778898611,(31) 2205-5082,+55 31 977889-8611,31-968-224-8478
76,(31) 970901-9702,319709019702,(31) 4289-6198,+55 31 970901-9702,31-873-553-9270
77,(61) 981810-8305,619818108305,(61) 5674-3607,+55 61 981810-8305,61-861-982-8777
78,(71) 943972-5050,719439725050,(71) 5440-5543,+55 71 943972-5050,71-884-896-9540
79,(71) 992149-4919,719921494919,(71) 3124-8206,+55 71 992149-4919,71-179-830-5681
80,(41) 945614-6502,419456146502,(41) 3309-9849,+55 41 945614-6502,41-182-241-3471
81,(41) 960205-3503,419602053503,(41) 4893-4505,+55 41 960205-3503,41-165-524-7678
82,(51) 981121-8633,519811218633,(51) 3703-2020,+55 51 981121-8633,51-311-952-7883
83,(61) 986556-1320,619865561320,(61) 5509-7232,+55 61 986556-1320,61-588-106-6763
84,(48) 961116-7865,489611167865,(48) 4204-9947,+55 48 961116-7865,48-919-717-4613
85,(71) 938760-5471,719387605471,(71) 3785-8956,+55 71 938760-5471,71-129-498-6507
86,(61) 931632-8657,619316328657,(61) 5766-3091,+55 61 931632-8657,61-737-646-1441
87,(61) 987580-1444,619875801444,(61) 2343-8022,+55 61 987580-1444,61-238-987-8564
88,(31) 916590-5262,319165905262,(31) 3552-6363,+55 31 916590-5262,31-316-565-6355
89,(51) 959692-5558,519596925558,(51) 5080-7906,+55 51 959692-5558,51-358-954-2341
90,(71) 912540-9837,719125409837,(71) 2213-6733,+55 71 912540-9837,71-329-765-2124
91,(11) 914067-5051,119140675051,(11) 2816-1333,+55 11 914067-5051,11-736-256-4908
92,(31) 972070-2874,319720702874,(31) 4310-4571,+55 31 972070-2874,31-576-816-5198
93,(51) 931992-2876,519319922876,(51) 5185-3683,+55 51 931992-2876,51-418-210-1420
94,(48) 985470-7149,489854707149,(48) 3624-4249,+55 48 985470-7149,48-177-706-4978
95,(21) 949529-2983,219495292983,(21) 5261-1672,+55 21 949529-2983,21-455-645-8018
96,(51) 919038-9289,519190389289,(51) 4652-6590,+55 51 919038-9289,51-112-969-7882
97,(71) 923833-8102,719238338102,(71) 5935-6934,+55 71 923833-8102,71-750-948-8532
98,(31) 967080-3885,319670803885,(31) 5005-9548,+55 31 967080-3885,31-766-376-9817
99,(71) 970931-8136,719709318136,(71) 5382-5397,+55 71 970931-8136,71-430-972-5022
100,(21) 946559-8385,219465598385,(21) 2998-8613,+55 21 946559-8385,21-683-724-7209
101,(51) 913761-9098,519137619098,(51) 5485-6325,+55 51 913761-9098,51-286-599-4475
102,(51) 943862-6576,519438626576,(51) 3145-5526,+55 51 943862-6576,51-669-110-9464
103,(41) 921221-4954,419212214954,(41) 4949-7658,+55 41 921221-4954,41-600-668-4937
104,(71) 994659-9041,719946599041,(71) 3835-1282,+55 71 994659-9041,71-195-401-4630
105,(61) 941890-6016,619418906016,(61) 4719-7046,+55 61 941890-6016,61-584-666-9698
106,(51) 965771-6419,519657716419,(51) 3441-8434,+55 51 965771-6419,51-377-413-5118
107,(41) 925814-4155,419258144155,(41) 3292-2958,+55 41 925814-4155,41-860-648-4033
108,(41) 938361-8933,419383618933,(41) 3132-9595,+55 41 938361-8933,41-711-389-2647
109,(41) 948829-4727,419488294727,(41) 3478-3939,+55 41 948829-4727,41-409-114-9751
110,(31) 945954-1745,319459541745,(31) 5990-1893,+55 31 945954-1745,31-666-399-3068
111,(71) 923446-1200,719234461200,(71) 4351-5658,+55 71 923446-1200,71-580-590-8216
112,(51) 934164-1841,519341641841,(51) 3034-8827,+55 51 934164-1841,51-216-941-2070
113,(61) 974454-2213,619744542213,(61) 4363-1878,+55 61 974454-2213,61-255-252-5978
114,(21) 942530-2940,219425302940,(21) 4285-7818,+55 21 942530-2940,21-720-710-4697
115,(81) 959856-8381,819598568381,(81) 5721-8253,+55 81 959856-8381,81-404-980-8025
116,(48) 984531-1986,489845311986,(48) 4497-2625,+55 48 984531-1986,48-881-312-4457
117,(48) 996563-2330,489965632330,(48) 2643-4929,+55 48 996563-2330,48-277-665-2229
118,(31) 910350-7693,319103507693,(31) 3845-8699,+55 31 910350-7693,31-398-133-4792
119,(48) 947056-8438,489470568438,(48) 2291-4824,+55 48 947056-8438,48-370-906-4241
120,(61) 925043-9922,619250439922,(61) 2920-3441,+55 61 925043-9922,61-372-946-3330
121,(21) 917816-3718,219178163718,(21) 5246-6039,+55 21 917816-3718,21-709-866-5728
122,(71) 926299-8679,719262998679,(71) 4820-5982,+55 71 926299-8679,71-816-512-5460
123,(81) 980776-9090,819807769090,(81) 3793-2317,+55 81 980776-9090,81-712-140-8078
124,(51) 989129-5102,519891295102,(51) 2105-2496,+55 51 989129-5102,51-334-790-1339
125,(48) 985529-1659,489855291659,(48) 5125-3870,+55 48 985529-1659,48-581-631-8245
126,(48) 933788-8141,489337888141,(48) 4600-9056,+55 48 933788-8141,48-193-581-6700
127,(61) 953687-6260,619536876260,(61) 4744-2713,+55 61 953687-6260,61-978-264-6403
128,(61) 974942-5722,619749425722,(61) 4713-7561,+55 61 974942-5722,61-933-878-1601
129,(71) 921542-6153,719215426153,(71) 3033-6296,+55 71 921542-6153,71-218-891-7622
130,(81) 910150-9889,819101509889,(81) 3892-7770,+55 81 910150-9889,81-155-292-9494
131,(51) 991609-9167,519916099167,(51) 4561-8242,+55 51 991609-9167,51-878-152-4335
132,(48) 981987-3146,489819873146,(48) 5799-5719,+55 48 981987-3146,48-548-815-8941
133,(21) 913783-4920,219137834920,(21) 4907-3594,+55 21 913783-4920,21-418-664-1224
134,(81) 963476-2527,819634762527,(81) 2920-2858,+55 81 963476-2527,81-572-220-3522
135,(71) 948254-9337,719482549337,(71) 4889-5479,+55 71 948254-9337,71-525-954-8905
136,(71) 941946-8483,719419468483,(71) 4257-3369,+55 71 941946-8483,71-492-295-9327
137,(31) 919150-5526,319191505526,(31) 5164-7798,+55 31 919150-5526,31-448-906-9318
138,(48) 910336-5634,489103365634,(48) 4973-5891,+55 48 910336-5634,48-957-701-9022
139,(31) 968529-9824,319685299824,(31) 3983-6654,+55 31 968529-9824,31-440-665-9903
140,(61) 969682-6272,619696826272,(61) 5561-4090,+55 61 969682-6272,61-814-344-7274
141,(41) 963841-1715,419638411715,(41) 3303-8749,+55 41 963841-1715,41-822-930-7246
142,(61) 996991-3492,619969913492,(61) 4028-1606,+55 61 996991-3492,61-229-614-6439
143,(21) 967711-2633,219677112633,(21) 4154-8486,+55 21 967711-2633,21-115-839-3361
144,(61) 995823-3529,619958233529,(61) 2306-8692,+55 61 995823-3529,61-900-371-6546
145,(85) 962098-2315,859620982315,(85) 5488-6383,+55 85 962098-2315,85-972-790-9742
146,(61) 951505-8994,619515058994,(61) 5573-9864,+55 61 951505-8994,61-136-732-2121
147,(41) 992727-5708,419927275708,(41) 2931-2480,+55 41 992727-5708,41-544-200-2646
148,(71) 931805-5906,719318055906,(71) 5700-1474,+55 71 931805-5906,71-147-432-1919
149,(48) 956984-7141,489569847141,(48) 3764-3385,+55 48 956984-7141,48-350-643-7751
150,(85) 999364-3950,859993643950,(85) 2696-3868,+55 85 999364-3950,85-180-724-7267
151,(85) 999539-4945,859995394945,(85) 4038-3344,+55 85 999539-4945,85-337-572-5161
152,(71) 943466-1153,719434661153,(71) 5681-8622,+55 71 943466-1153,71-394-793-9955
153,(31) 919681-8237,319196818237,(31) 5871-6661,+55 31 919681-8237,31-701-406-7951
154,(48) 969878-5949,489698785949,(48) 2815-7302,+55 48 969878-5949,48-973-594-2747
155,(41) 959986-6881,419599866881,(41) 4354-5847,+55 41 959986-6881,41-816-402-1359
156,(61) 945976-1132,619459761132,(61) 4318-1803,+55 61 945976-1132,61-720-863-9138
157,(48) 940162-6772,489401626772,(48) 2897-4115,+55 48 940162-6772,48-735-356-3240
158,(21) 992242-1645,219922421645,(21) 3265-8222,+55 21 992242-1645,21-134-693-6977
159,(31) 921813-5835,319218135835,(31) 3338-7807,+55 31 921813-5835,31-279-305-3165
160,(81) 957953-9697,819579539697,(81) 4055-5465,+55 81 957953-9697,81-950-268-5210
161,(71) 948684-6549,719486846549,(71) 5294-2886,+55 71 948684-6549,71-579-177-3306
162,(41) 998647-7511,419986477511,(41) 5961-6992,+55 41 998647-7511,41-192-909-7464
163,(11) 944663-9791,119446639791,(11) 2506-8451,+55 11 944663-9791,11-477-788-5295
164,(85) 959941-7086,859599417086,(85) 2443-4830,+55 85 959941-7086,85-582-125-6374
165,(85) 939015-2035,859390152035,(85) 4602-8606,+55 85 939015-2035,85-817-409-7689
166,(21) 928320-1742,219283201742,(21) 5875-1609,+55 21 928320-1742,21-411-604-2902
167,(21) 940775-9807,219407759807,(21) 2555-7367,+55 21 940775-9807,21-564-479-9850
168,(61) 986983-3531,619869833531,(61) 5626-7797,+55 61 986983-3531,61-770-201-9017
169,(85) 963492-5583,859634925583,(85) 2134-7070,+55 85 963492-5583,85-322-554-8285
170,(41) 957537-2627,419575372627,(41) 4808-7018,+55 41 957537-2627,41-657-760-6876
171,(11) 962184-5520,119621845520,(11) 2777-3001,+55 11 962184-5520,11-968-943-8450
172,(21) 996870-4475,219968704475,(21) 4628-1349,+55 21 996870-4475,21-151-905-6464
173,(41) 926505-4362,419265054362,(41) 2281-4394,+55 41 926505-4362,41-700-321-4817
174,(51) 929340-1046,519293401046,(51) 3135-3370,+55 51 929340-1046,51-233-653-5106
175,(31) 924408-1422,319244081422,(31) 2539-1243,+55 31 924408-1422,31-466-908-4898
176,(85) 952437-1258,859524371258,(85) 2713-5347,+55 85 952437-1258,85-153-229-7897
177,(81) 924896-2041,819248962041,(81) 3950-8344,+55 81 924896-2041,81-896-470-9408
178,(85) 924293-8405,859242938405,(85) 4063-4629,+55 85 924293-8405,85-729-144-9543
179,(48) 970036-1510,489700361510,(48) 2249-8847,+55 48 970036-1510,48-967-511-7984
180,(21) 974260-8267,219742608267,(21) 2301-2323,+55 21 974260-8267,21-429-722-3430
181,(21) 926540-5505,219265405505,(21) 4557-9984,+55 21 926540-5505,21-829-432-7240
182,(85) 979541-5831,859795415831,(85) 3858-9282,+55 85 979541-5831,85-719-540-2624
183,(21) 995814-4522,219958144522,(21) 3761-8398,+55 21 995814-4522,21-333-523-6553
184,(71) 962262-7815,719622627815,(71) 4988-2557,+55 71 962262-7815,71-420-537-6120
185,(48) 959060-3500,489590603500,(48) 4813-8770,+55 48 959060-3500,48-168-193-2398
186,(21) 966606-2582,219666062582,(21) 5049-7105,+55 21 966606-2582,21-931-233-1982
187,(85) 983608-6400,859836086400,(85) 4744-3002,+55 85 983608-6400,85-520-462-7929
188,(11) 947700-6119,119477006119,(11) 3440-2697,+55 11 947700-6119,11-691-619-4485
189,(31) 996079-8900,319960798900,(31) 2918-2773,+55 31 996079-8900,31-458-965-7022
190,(21) 946512-4705,219465124705,(21) 5306-8030,+55 21 946512-4705,21-965-674-1430
191,(85) 996223-5381,859962235381,(85) 2118-3955,+55 85 996223-5381,85-379-819-6062
192,(51) 956009-1100,519560091100,(51) 2743-3347,+55 51 956009-1100,51-679-773-7566
193,(21) 928595-1502,219285951502,(21) 2375-9691,+55 21 928595-1502,21-320-485-7878
194,(71) 954681-3578,719546813578,(71) 3515-6105,+55 71 954681-3578,71-838-432-2391
195,(11) 930392-3579,119303923579,(11) 5090-1815,+55 11 930392-3579,11-790-183-5458
196,(71) 996761-7947,719967617947,(71) 3989-8242,+55 71 996761-7947,71-524-379-4531
197,(81) 924918-6655,819249186655,(81) 3760-2816,+55 81 924918-6655,81-390-794-8972
198,(81) 997442-6053,819974426053,(81) 2186-4612,+55 81 997442-6053,81-504-713-1897
199,(11) 936794-5938,119367945938,(11) 5872-4460,+55 11 936794-5938,11-885-240-5186
200,(48) 953007-2965,489530072965,(48) 2031-9149,+55 48 953007-2965,48-864-540-3878
201,(31) 959834-9725,319598349725,(31) 4882-4770,+55 31 959834-9725,31-612-672-6802
202,(21) 962044-1693,219620441693,(21) 3786-1307,+55 21 962044-1693,21-570-179-6129
203,(85) 966267-7626,859662677626,(85) 4906-7843,+55 85 966267-7626,85-396-217-7636
204,(11) 952568-3815,119525683815,(11) 5282-8538,+55 11 952568-3815,11-951-806-6928
205,(21) 967240-2734,219672402734,(21) 2996-8138,+55 21 967240-2734,21-703-510-9584
206,(21) 961873-6083,219618736083,(21) 5054-6562,+55 21 961873-6083,21-326-441-3754
207,(21) 976910-2868,219769102868,(21) 4173-9355,+55 21 976910-2868,21-298-894-6724
208,(51) 994599-3419,519945993419,(51) 2967-2684,+55 51 994599-3419,51-249-362-4232
209,(31) 988957-3504,319889573504,(31) 5113-2234,+55 31 988957-3504,31-281-891-9095
210,(71) 983889-8354,719838898354,(71) 4789-6295,+55 71 983889-8354,71-984-742-6179
211,(31) 967640-2118,319676402118,(31) 3920-8245,+55 31 967640-2118,31-746-410-5500
212,(85) 917362-6766,859173626766,(85) 4078-2215,+55 85 917362-6766,85-417-572-8404
213,(11) 917456-7041,119174567041,(11) 5406-5703,+55 11 917456-7041,11-178-760-2479
214,(85) 987867-9307,859878679307,(85) 3574-8581,+55 85 987867-9307,85-694-667-1672
215,(71) 984928-4084,719849284084,(71) 3316-8792,+55 71 984928-4084,71-613-254-2013
216,(71) 923566-6626,719235666626,(71) 4925-2381,+55 71 923566-6626,71-616-761-3827
217,(11) 942472-8172,119424728172,(11) 3799-9586,+55 11 942472-8172,11-635-724-3600
218,(51) 958870-5634,519588705634,(51) 3586-7697,+55 51 958870-5634,51-893-446-1857
219,(51) 918639-6401,519186396401,(51) 2387-7333,+55 51 918639-6401,51-390-358-3463
220,(51) 920682-3317,519206823317,(51) 5754-6731,+55 51 920682-3317,51-417-771-7421
221,(31) 987993-2388,319879932388,(31) 3268-7171,+55 31 987993-2388,31-758-910-6381
222,(31) 997833-9624,319978339624,(31) 2382-7937,+55 31 997833-9624,31-620-470-1298
223,(51) 950483-3953,519504833953,(51) 5895-4509,+55 51 950483-3953,51-449-884-8967
224,(41) 939693-3253,419396933253,(41) 2634-2264,+55 41 939693-3253,41-402-964-2657
225,(81) 980748-9626,819807489626,(81) 2154-6517,+55 81 980748-9626,81-997-884-3147
226,(85) 959377-3527,859593773527,(85) 2664-3962,+55 85 959377-3527,85-951-809-3712
227,(71) 915726-7731,719157267731,(71) 3492-4891,+55 71 915726-7731,71-554-725-5668
228,(71) 940671-9749,719406719749,(71) 2979-6070,+55 71 940671-9749,71-928-903-8684
229,(41) 958213-8218,419582138218,(41) 3891-5616,+55 41 958213-8218,41-896-491-9239
230,(81) 964874-3655,819648743655,(81) 5345-4271,+55 81 964874-3655,81-920-719-3267
231,(48) 916839-8873,489168398873,(48) 5580-7081,+55 48 916839-8873,48-667-205-9452
232,(21) 947363-2374,219473632374,(21) 5125-3626,+55 21 947363-2374,21-379-560-9410
233,(31) 967340-2502,319673402502,(31) 5876-4637,+55 31 967340-2502,31-936-561-6727
234,(11) 964381-1872,119643811872,(11) 3623-9224,+55 11 964381-1872,11-482-341-7326
235,(21) 959140-4678,219591404678,(21) 2115-6221,+55 21 959140-4678,21-201-959-6493
236,(31) 928035-1627,319280351627,(31) 3175-8740,+55 31 928035-1627,31-812-951-3273
237,(71) 968799-1086,719687991086,(71) 5710-2298,+55 71 968799-1086,71-119-362-4533
238,(31) 981932-9647,319819329647,(31) 3733-2821,+55 31 981932-9647,31-894-395-4893
239,(48) 925970-1782,489259701782,(48) 2976-7878,+55 48 925970-1782,48-754-912-8489
240,(21) 924530-9189,219245309189,(21) 4444-9782,+55 21 924530-9189,21-116-747-9443
241,(85) 941711-3352,859417113352,(85) 3193-8032,+55 85 941711-3352,85-101-729-6780
242,(41) 984798-7825,419847987825,(41) 2767-2402,+55 41 984798-7825,41-636-469-2108
243,(81) 981313-9312,819813139312,(81) 5221-9316,+55 81 981313-9312,81-667-120-7397
244,(71) 915706-7338,719157067338,(71) 3529-5155,+55 71 915706-7338,71-865-116-6850
245,(21) 955193-4950,219551934950,(21) 5002-2698,+55 21 955193-4950,21-890-695-6447
246,(31) 915811-6772,319158116772,(31) 4236-6546,+55 31 915811-6772,31-933-758-3868
247,(71) 972722-3986,719727223986,(71) 5323-3209,+55 71 972722-3986,71-164-833-8498
248,(11) 948462-4302,119484624302,(11) 2179-4268,+55 11 948462-4302,11-142-423-6080
249,(81) 962196-9897,819621969897,(81) 3939-5150,+55 81 962196-9897,81-137-871-4131
250,(48) 956789-1783,489567891783,(48) 5546-6438,+55 48 956789-1783,48-379-227-7029
251,(61) 962431-8204,619624318204,(61) 5664-7334,+55 61 962431-8204,61-447-291-9129
252,(71) 958148-9507,719581489507,(71) 3092-2353,+55 71 958148-9507,71-844-534-2293
253,(61) 988964-3956,619889643956,(61) 4234-5813,+55 61 988964-3956,61-428-205-2311
254,(51) 996628-5843,519966285843,(51) 3255-8305,+55 51 996628-5843,51-717-834-7981
255,(31) 968183-6759,319681836759,(31) 3831-1693,+55 31 968183-6759,31-844-990-6776
256,(85) 967008-5498,859670085498,(85) 4619-1939,+55 85 967008-5498,85-176-787-7655
257,(51) 977251-3621,519772513621,(51) 5902-1510,+55 51 977251-3621,51-246-969-8179
258,(11) 926545-2101,119265452101,(11) 2966-7001,+55 11 926545-2101,11-470-492-1530
259,(85) 930111-8371,859301118371,(85) 5886-7077,+55 85 930111-8371,85-480-554-2259
260,(85) 928047-9674,859280479674,(85) 3503-7521,+55 85 928047-9674,85-421-765-5566
261,(41) 924869-1424,419248691424,(41) 5013-4048,+55 41 924869-1424,41-611-630-7340
262,(81) 925435-5288,819254355288,(81) 5174-5264,+55 81 925435-5288,81-820-556-4515
263,(85) 947431-9047,859474319047,(85) 2819-3009,+55 85 947431-9047,85-238-973-2213
264,(71) 932630-8292,719326308292,(71) 2359-6236,+55 71 932630-8292,71-783-455-2063
265,(81) 981063-5757,819810635757,(81) 5650-5914,+55 81 981063-5757,81-971-261-3852
266,(51) 976683-4673,519766834673,(51) 2497-4292,+55 51 976683-4673,51-911-242-4878
267,(71) 913445-6912,719134456912,(71) 4269-7044,+55 71 913445-6912,71-578-922-3126
268,(85) 921300-2077,859213002077,(85) 3266-7523,+55 85 921300-2077,85-834-836-8842
269,(81) 963843-7708,819638437708,(81) 5372-2208,+55 81 963843-7708,81-228-424-2215
270,(71) 971057-9476,719710579476,(71) 3411-3102,+55 71 971057-9476,71-999-948-3981
271,(31) 966704-9238,319667049238,(31) 5730-1907,+55 31 966704-9238,31-951-227-9488
272,(31) 949862-3697,319498623697,(31) 2663-6286,+55 31 949862-3697,31-826-330-6669
273,(81) 947230-2292,819472302292,(81) 3026-4216,+55 81 947230-2292,81-750-664-5496
274,(31) 991922-5961,319919225961,(31) 4516-9740,+55 31 991922-5961,31-195-614-3762
275,(85) 986106-3526,859861063526,(85) 2701-6531,+55 85 986106-3526,85-962-677-1674
276,(11) 920646-1744,119206461744,(11) 5885-5336,+55 11 920646-1744,11-766-315-7825
277,(85) 993753-1496,859937531496,(85) 4039-9938,+55 85 993753-1496,85-396-757-5949
278,(71) 942096-7653,719420967653,(71) 3218-8430,+55 71 942096-7653,71-174-805-1981
279,(31) 967619-7809,319676197809,(31) 3983-8609,+55 31 967619-7809,31-308-448-3353
280,(51) 951853-6658,519518536658,(51) 5995-7532,+55 51 951853-6658,51-233-878-7070
281,(81) 983616-2739,819836162739,(81) 3307-4960,+55 81 983616-2739,81-577-225-5382
282,(71) 942495-3308,719424953308,(71) 2396-1829,+55 71 942495-3308,71-397-493-7850
283,(41) 930932-6364,419309326364,(41) 5824-6123,+55 41 930932-6364,41-294-881-3610
284,(71) 977466-8648,719774668648,(71) 4042-6055,+55 71 977466-8648,71-609-123-2475
285,(61) 976249-8491,619762498491,(61) 5959-4944,+55 61 976249-8491,61-320-697-6781
286,(11) 916624-5609,119166245609,(11) 4027-8710,+55 11 916624-5609,11-392-649-1133
287,(21) 966482-3194,219664823194,(21) 5614-5333,+55 21 966482-3194,21-844-474-7606
288,(51) 915930-7563,519159307563,(51) 2209-4189,+55 51 915930-7563,51-471-666-5728
289,(21) 960639-9261,219606399261,(21) 3844-5582,+55 21 960639-9261,21-945-738-2946
290,(31) 922672-7453,319226727453,(31) 3528-6555,+55 31 922672-7453,31-671-474-3363
291,(41) 988966-9341,419889669341,(41) 3644-9193,+55 41 988966-9341,41-141-146-1637
292,(31) 953652-8761,319536528761,(31) 4127-8487,+55 31 953652-8761,31-252-720-9446
293,(31) 952987-6218,319529876218,(31) 2665-7438,+55 31 952987-6218,31-731-857-5902
294,(85) 954089-9311,859540899311,(85) 5392-9351,+55 85 954089-9311,85-645-601-5911
295,(71) 912180-7035,719121807035,(71) 3356-2795,+55 71 912180-7035,71-526-697-6040
296,(11) 988238-8775,119882388775,(11) 3087-4728,+55 11 988238-8775,11-838-152-8871
